Name,ast,alpha_code,Num_code,Status
Alabama,0,AL,1,State; counties
Alaska,0,AK,2,State; boroughs
American Samoa,0,AS,60,Outlying area under U.S. sovereignty
American Samoa,1,,3,(FIPS 5-1 reserved code)
Arizona,0,AZ,4,State; counties
Arkansas,0,AR,5,State; counties
Baker Island,0,BI,81,Minor outlying island territory
California,0,CA,6,State; counties
Canal Zone,1,,7,(FIPS 5-1 reserved code)
Colorado,0,CO,8,State; counties
Connecticut,0,CT,9,State; counties
Delaware,0,DE,10,State; counties
District of Columbia,0,DC,11,Federal district[4]
Florida,0,FL,12,State; counties
Federated States of Micronesia,0,FM,64,Freely Associated State
Georgia,0,GA,13,State; counties
Guam,1,,14,(FIPS 5-1 reserved code)
Guam,0,GU,66,Outlying area under U.S. sovereignty
Hawaii,0,HI,15,State; counties
Howland Island,0,HI,84,Minor outlying island territory
Idaho,0,ID,16,State; counties
Illinois,0,IL,17,State; counties
Indiana,0,IN,18,State; counties
Iowa,0,IA,19,State; counties
Jarvis Island,0,JI,86,Minor outlying island territory
Johnston Atoll,0,JA,67,Minor outlying island territory
Kansas,0,KS,20,State; counties
Kentucky,0,KY,21,State; counties
Kingman Reef,0,KR,89,Minor outlying island territory
Louisiana,0,LA,22,State; parishes
Maine,0,ME,23,State; counties
Marshall Islands,0,MH,68,Freely Associated State
Maryland,0,MD,24,State; counties
Massachusetts,0,MA,25,State; counties
Michigan,0,MI,26,State; counties
Midway Islands,0,MI,71,Minor outlying island territory
Minnesota,0,MN,27,State; counties
Mississippi,0,MS,28,State; counties
Missouri,0,MO,29,State; counties
Montana,0,MT,30,State; counties
Navassa Island,0,NI,76,Minor outlying island territory
Nebraska,0,NE,31,State; counties
Nevada,0,NV,32,State; counties
New Hampshire,0,NH,33,State; counties
New Jersey,0,NJ,34,State; counties
New Mexico,0,NM,35,State; counties
New York,0,NY,36,State; counties
North Carolina,0,NC,37,State; counties
North Dakota,0,ND,38,State; counties
Northern Mariana Islands,0,MP,69,Outlying area under U.S. sovereignty
Ohio,0,OH,39,State; counties
Oklahoma,0,OK,40,State; counties
Oregon,0,OR,41,State; counties
Palau,0,PW,70,Freely Associated State
Palmyra Atoll,0,PA,95,Minor outlying island territory
Pennsylvania,0,PA,42,State; counties
Puerto Rico,1,,43,(FIPS 5-1 reserved code)
Puerto Rico,0,PR,72,Outlying area under U.S. sovereignty
Rhode Island,0,RI,44,State; counties
South Carolina,0,SC,45,State; counties
South Dakota,0,SD,46,State; counties
Tennessee,0,TN,47,State; counties
Texas,0,TX,48,State; counties
U.S. Minor Outlying Islands,0,UM,74,Minor outlying island territories (aggregated)
Utah,0,UT,49,State; counties
Vermont,0,VT,50,State; counties
Virginia,0,VA,51,State; counties
Virgin Islands of the U.S.,1,,52,(FIPS 5-1 reserved code)
Virgin Islands of the U.S.,0,VI,78,Outlying area under U.S. sovereignty
Wake Island,0,WI,79,Minor outlying island territory
Washington,0,WA,53,State; counties
West Virginia,0,WV,54,State; counties
Wisconsin,0,WI,55,State; counties
Wyoming,0,WY,56,State; counties